person_id,county,FIPS,treatment,total_duration_in_sec,Q1_answer_code,Q1_answer_text
708,Douglas County,8035,0,23,null,
17337,Adams County,8001,1,78,5,Definitely worse off
25671,Adams County,8001,0,75,4,Somewhat worse off
26938,Denver County,8031,0,228,3,Neither better nor worse off
28087,Adams County,8001,0,19,null,
42671,Park County,8093,0,330,1,Definitely better off
47358,Adams County,8001,1,7,null,
48862,Denver County,8031,0,93,2,Somewhat better off
54248,Adams County,8001,1,82,2,Somewhat better off
55941,Adams County,8001,0,46,null,
67337,Adams County,8001,0,82,1,Definitely better off
67937,Elbert County,8039,0,209,2,Somewhat better off
72293,El Paso County,8041,1,62,5,Definitely worse off
74551,Adams County,8001,0,20,null,
76050,Weld County,8123,1,159,null,
79688,Adams County,8001,1,113,5,Definitely worse off
82720,Adams County,8001,0,181,null,
86309,Adams County,8001,0,42,null,
109377,Adams County,8001,0,16,null,
111603,Adams County,8001,0,102,4,Somewhat worse off
114483,Adams County,8001,0,96,null,
117095,Weld County,8123,0,152,5,Definitely worse off
121982,Adams County,8001,0,10,null,
124917,Adams County,8001,0,82,5,Definitely worse off
139279,Adams County,8001,0,126,5,Definitely worse off
141874,Adams County,8001,0,34,null,
144882,Weld County,8123,0,95,5,Definitely worse off
146224,Denver County,8031,1,91,3,Neither better nor worse off
155568,Douglas County,8035,1,44,5,Definitely worse off
163423,Adams County,8001,0,158,4,Somewhat worse off
164485,Adams County,8001,1,172,3,Neither better nor worse off
165021,Adams County,8001,1,6,null,
165651,Adams County,8001,1,49,5,Definitely worse off
169538,Adams County,8001,1,119,4,Somewhat worse off
176677,Adams County,8001,1,5,null,
180583,Adams County,8001,1,86,2,Somewhat better off
182254,Adams County,8001,0,144,5,Definitely worse off
190232,Denver County,8031,0,20,null,
196036,Alamosa County,8003,0,86,1,Definitely better off
227294,Jefferson County,8059,0,21,null,
231297,Eagle County,8037,1,46,5,Definitely worse off
246092,Denver County,8031,1,40,null,
251750,El Paso County,8041,1,82,5,Definitely worse off
271994,Denver County,8031,1,70,1,Definitely better off
273208,Denver County,8031,1,17,null,
296301,Douglas County,8035,1,6,null,
310997,Denver County,8031,1,57,5,Definitely worse off
318899,Boulder County,8013,1,57,4,Somewhat worse off
325497,Denver County,8031,1,8,null,
343258,Douglas County,8035,0,97,5,Definitely worse off
351849,Denver County,8031,0,86,5,Definitely worse off
384445,Denver County,8031,0,110,4,Somewhat worse off
384576,Douglas County,8035,1,137,5,Definitely worse off
411158,El Paso County,8041,1,4,null,
433190,Denver County,8031,0,7,null,
433582,Douglas County,8035,1,73,3,Neither better nor worse off
435912,Douglas County,8035,1,60,3,Neither better nor worse off
437137,Adams County,8001,0,97,3,Neither better nor worse off
440720,Denver County,8031,0,65,5,Definitely worse off
441164,El Paso County,8041,1,22,null,
443638,Pueblo County,8101,0,82,4,Somewhat worse off
460803,Mesa County,8077,1,204,4,Somewhat worse off
464337,Denver County,8031,1,133,2,Somewhat better off
464407,Denver County,8031,1,111,2,Somewhat better off
465561,Denver County,8031,1,61,2,Somewhat better off
472920,Weld County,8123,0,79,5,Definitely worse off
482428,Douglas County,8035,1,6,null,
519683,Denver County,8031,1,6,null,
520234,Denver County,8031,0,177,3,Neither better nor worse off
528221,Archuleta County,8007,1,107,1,Definitely better off
550068,Boulder County,8013,0,62,5,Definitely worse off
554700,Boulder County,8013,0,148,5,Definitely worse off
564115,Boulder County,8013,0,64,1,Definitely better off
570283,Boulder County,8013,1,98,5,Definitely worse off
581640,Boulder County,8013,0,16,null,
594017,Boulder County,8013,0,159,4,Somewhat worse off
596274,Boulder County,8013,1,160,4,Somewhat worse off
612307,Boulder County,8013,1,11,null,
621617,Boulder County,8013,0,105,3,Neither better nor worse off
624853,Boulder County,8013,1,71,3,Neither better nor worse off
628161,Boulder County,8013,0,115,1,Definitely better off
632069,Denver County,8031,1,89,5,Definitely worse off
637544,Boulder County,8013,1,203,5,Definitely worse off
657122,Denver County,8031,1,25,null,
670308,Weld County,8123,0,19,null,
672554,Boulder County,8013,0,7,null,
689269,Weld County,8123,1,53,4,Somewhat worse off
693065,Boulder County,8013,1,69,5,Definitely worse off
694578,Denver County,8031,1,222,5,Definitely worse off
699030,Boulder County,8013,1,91,5,Definitely worse off
700530,Boulder County,8013,0,88,5,Definitely worse off
715681,Boulder County,8013,0,44,4,Somewhat worse off
723587,Boulder County,8013,0,211,5,Definitely worse off
731931,Boulder County,8013,0,52,4,Somewhat worse off
731981,Boulder County,8013,0,101,4,Somewhat worse off
733376,Boulder County,8013,1,57,2,Somewhat better off
735014,Weld County,8123,0,11,null,
758474,Cheyenne County,8017,0,164,1,Definitely better off
760256,Clear Creek County,8019,1,20,null,
764021,Clear Creek County,8019,1,30,null,
764068,Clear Creek County,8019,1,34,null,
764363,Fremont County,8043,0,79,5,Definitely worse off
765806,Clear Creek County,8019,0,59,4,Somewhat worse off
